id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
104,battery,2030,5,8,8,0.0
105,battery,2030,5,9,9,0.0
106,battery,2030,5,10,10,0.0
107,battery,2030,5,11,11,0.0
108,battery,2030,5,12,12,0.0
109,battery,2030,5,13,13,0.0
110,battery,2030,5,14,14,0.0
111,battery,2030,5,15,15,0.0
112,battery,2030,5,16,16,0.0
113,battery,2030,5,17,17,0.0
114,battery,2030,5,18,18,0.0
115,battery,2030,5,19,19,0.0
116,battery,2030,5,20,20,0.0
117,battery,2030,5,21,21,0.0
118,battery,2030,5,22,22,0.0
119,battery,2030,5,23,23,0.0
120,battery,2030,5,24,24,0.0
121,battery,2030,6,1,1,0.0
122,battery,2030,6,2,2,0.0
123,battery,2030,6,3,3,0.0
124,battery,2030,6,4,4,0.0
125,battery,2030,6,5,5,0.0
126,battery,2030,6,6,6,0.0
127,battery,2030,6,7,7,0.0
128,battery,2030,6,8,8,0.0
129,battery,2030,6,9,9,0.0
130,battery,2030,6,10,10,0.0
131,battery,2030,6,11,11,0.0
132,battery,2030,6,12,12,0.0
133,battery,2030,6,13,13,0.0
134,battery,2030,6,14,14,0.0
135,battery,2030,6,15,15,0.0
136,battery,2030,6,16,16,0.0
137,battery,2030,6,17,17,0.0
138,battery,2030,6,18,18,0.0
139,battery,2030,6,19,19,0.0
140,battery,2030,6,20,20,0.0
141,battery,2030,6,21,21,0.0
142,battery,2030,6,22,22,0.0
143,battery,2030,6,23,23,0.0
144,battery,2030,6,24,24,0.0
145,battery,2030,7,1,1,0.0
146,battery,2030,7,2,2,0.0
147,battery,2030,7,3,3,0.0
148,battery,2030,7,4,4,0.0
149,battery,2030,7,5,5,0.0
150,battery,2030,7,6,6,0.0
151,battery,2030,7,7,7,0.0
152,battery,2030,7,8,8,0.0
153,battery,2030,7,9,9,0.0
154,battery,2030,7,10,10,0.0
155,battery,2030,7,11,11,0.0
156,battery,2030,7,12,12,0.0
157,battery,2030,7,13,13,0.0
158,battery,2030,7,14,14,0.0
159,battery,2030,7,15,15,0.0
160,battery,2030,7,16,16,0.0
161,battery,2030,7,17,17,0.0
162,battery,2030,7,18,18,0.0
163,battery,2030,7,19,19,0.0
164,battery,2030,7,20,20,0.0
165,battery,2030,7,21,21,0.0
166,battery,2030,7,22,22,0.0
167,battery,2030,7,23,23,0.0
168,battery,2030,7,24,24,0.0
169,battery,2030,8,1,1,0.0
170,battery,2030,8,2,2,0.0
171,battery,2030,8,3,3,0.0
172,battery,2030,8,4,4,0.0
173,battery,2030,8,5,5,0.0
174,battery,2030,8,6,6,0.0
175,battery,2030,8,7,7,0.0
176,battery,2030,8,8,8,0.0
177,battery,2030,8,9,9,0.0
178,battery,2030,8,10,10,0.0
179,battery,2030,8,11,11,0.0
180,battery,2030,8,12,12,0.0
181,battery,2030,8,13,13,0.0
182,battery,2030,8,14,14,0.0
183,battery,2030,8,15,15,0.0
184,battery,2030,8,16,16,0.0
185,battery,2030,8,17,17,0.0
186,battery,2030,8,18,18,0.0
187,battery,2030,8,19,19,0.0
188,battery,2030,8,20,20,0.0
189,battery,2030,8,21,21,0.0
190,battery,2030,8,22,22,0.0
191,battery,2030,8,23,23,0.0
192,battery,2030,8,24,24,0.0
193,battery,2030,9,1,1,0.0
194,battery,2030,9,2,2,0.0
195,battery,2030,9,3,3,0.0
196,battery,2030,9,4,4,0.0
197,battery,2030,9,5,5,0.0
198,battery,2030,9,6,6,0.0
199,battery,2030,9,7,7,0.0
200,battery,2030,9,8,8,0.0
201,battery,2030,9,9,9,0.0
202,battery,2030,9,10,10,0.0
203,battery,2030,9,11,11,0.0
204,battery,2030,9,12,12,0.0
205,battery,2030,9,13,13,0.0
206,battery,2030,9,14,14,0.0
207,battery,2030,9,15,15,0.0
208,battery,2030,9,16,16,0.0
209,battery,2030,9,17,17,0.0
210,battery,2030,9,18,18,0.0
211,battery,2030,9,19,19,0.0
212,battery,2030,9,20,20,0.0
213,battery,2030,9,21,21,0.0
214,battery,2030,9,22,22,0.0
215,battery,2030,9,23,23,0.0
216,battery,2030,9,24,24,0.0
217,battery,2030,10,1,1,0.0
218,battery,2030,10,2,2,0.0
219,battery,2030,10,3,3,0.0
220,battery,2030,10,4,4,0.0
221,battery,2030,10,5,5,0.0
222,battery,2030,10,6,6,0.0
223,battery,2030,10,7,7,0.0
224,battery,2030,10,8,8,0.0
225,battery,2030,10,9,9,0.0
226,battery,2030,10,10,10,0.0
227,battery,2030,10,11,11,0.0
228,battery,2030,10,12,12,0.0
229,battery,2030,10,13,13,0.0
230,battery,2030,10,14,14,0.0
231,battery,2030,10,15,15,0.0
232,battery,2030,10,16,16,0.0
233,battery,2030,10,17,17,0.0
234,battery,2030,10,18,18,0.0
235,battery,2030,10,19,19,0.0
236,battery,2030,10,20,20,0.0
237,battery,2030,10,21,21,0.0
238,battery,2030,10,22,22,0.0
239,battery,2030,10,23,23,0.0
240,battery,2030,10,24,24,0.0
241,battery,2030,11,1,1,0.0
242,battery,2030,11,2,2,0.0
243,battery,2030,11,3,3,0.0
244,battery,2030,11,4,4,0.0
245,battery,2030,11,5,5,0.0
246,battery,2030,11,6,6,0.0
247,battery,2030,11,7,7,0.0
248,battery,2030,11,8,8,0.0
249,battery,2030,11,9,9,0.0
250,battery,2030,11,10,10,0.0
251,battery,2030,11,11,11,0.0
252,battery,2030,11,12,12,0.0
253,battery,2030,11,13,13,0.0
254,battery,2030,11,14,14,0.0
255,battery,2030,11,15,15,0.0
256,battery,2030,11,16,16,0.0
257,battery,2030,11,17,17,0.0
258,battery,2030,11,18,18,0.0
259,battery,2030,11,19,19,0.0
260,battery,2030,11,20,20,0.0
261,battery,2030,11,21,21,0.0
262,battery,2030,11,22,22,0.0
263,battery,2030,11,23,23,0.0
264,battery,2030,11,24,24,0.0
265,battery,2030,12,1,1,0.0
266,battery,2030,12,2,2,0.0
267,battery,2030,12,3,3,0.0
268,battery,2030,12,4,4,0.0
269,battery,2030,12,5,5,0.0
270,battery,2030,12,6,6,0.0
271,battery,2030,12,7,7,0.0
272,battery,2030,12,8,8,0.0
273,battery,2030,12,9,9,0.0
274,battery,2030,12,10,10,0.0
275,battery,2030,12,11,11,0.0
276,battery,2030,12,12,12,0.0
277,battery,2030,12,13,13,0.0
278,battery,2030,12,14,14,0.0
279,battery,2030,12,15,15,0.0
280,battery,2030,12,16,16,0.0
281,battery,2030,12,17,17,0.0
282,battery,2030,12,18,18,0.0
283,battery,2030,12,19,19,0.0
284,battery,2030,12,20,20,0.0
285,battery,2030,12,21,21,0.0
286,battery,2030,12,22,22,0.0
287,battery,2030,12,23,23,0.0
288,battery,2030,12,24,24,0.0
289,battery,2030,13,1,1,0.0
290,battery,2030,13,2,2,0.0
291,battery,2030,13,3,3,0.0
292,battery,2030,13,4,4,0.0
293,battery,2030,13,5,5,0.0
294,battery,2030,13,6,6,0.0
295,battery,2030,13,7,7,0.0
296,battery,2030,13,8,8,0.0
297,battery,2030,13,9,9,0.0
298,battery,2030,13,10,10,0.0
299,battery,2030,13,11,11,0.0
300,battery,2030,13,12,12,0.0
301,battery,2030,13,13,13,0.0
302,battery,2030,13,14,14,0.0
303,battery,2030,13,15,15,0.0
304,battery,2030,13,16,16,0.0
305,battery,2030,13,17,17,0.0
306,battery,2030,13,18,18,0.0
307,battery,2030,13,19,19,0.0
308,battery,2030,13,20,20,0.0
309,battery,2030,13,21,21,0.0
310,battery,2030,13,22,22,0.0
311,battery,2030,13,23,23,0.0
312,battery,2030,13,24,24,0.0
313,battery,2030,14,1,1,0.0
314,battery,2030,14,2,2,0.0
315,battery,2030,14,3,3,0.0
316,battery,2030,14,4,4,0.0
317,battery,2030,14,5,5,0.0
318,battery,2030,14,6,6,0.0
319,battery,2030,14,7,7,0.0
320,battery,2030,14,8,8,0.0
321,battery,2030,14,9,9,0.0
322,battery,2030,14,10,10,0.0
323,battery,2030,14,11,11,0.0
324,battery,2030,14,12,12,0.0
325,battery,2030,14,13,13,0.0
326,battery,2030,14,14,14,0.0
327,battery,2030,14,15,15,0.0
328,battery,2030,14,16,16,0.0
329,battery,2030,14,17,17,0.0
330,battery,2030,14,18,18,0.0
331,battery,2030,14,19,19,0.0
332,battery,2030,14,20,20,0.0
333,battery,2030,14,21,21,0.0
334,battery,2030,14,22,22,0.0
335,battery,2030,14,23,23,0.0
336,battery,2030,14,24,24,0.0
337,battery,2030,15,1,1,0.0
338,battery,2030,15,2,2,0.0
339,battery,2030,15,3,3,0.0
340,battery,2030,15,4,4,0.0
341,battery,2030,15,5,5,0.0
342,battery,2030,15,6,6,0.0
343,battery,2030,15,7,7,0.0
344,battery,2030,15,8,8,0.0
345,battery,2030,15,9,9,0.0
346,battery,2030,15,10,10,0.0
347,battery,2030,15,11,11,0.0
348,battery,2030,15,12,12,0.0
349,battery,2030,15,13,13,0.0
350,battery,2030,15,14,14,0.0
351,battery,2030,15,15,15,0.0
352,battery,2030,15,16,16,0.0
353,battery,2030,15,17,17,0.0
354,battery,2030,15,18,18,0.0
355,battery,2030,15,19,19,0.0
356,battery,2030,15,20,20,0.0
357,battery,2030,15,21,21,0.0
358,battery,2030,15,22,22,0.0
359,battery,2030,15,23,23,0.0
360,battery,2030,15,24,24,0.0
361,battery,2030,16,1,1,0.0
362,battery,2030,16,2,2,0.0
363,battery,2030,16,3,3,0.0
364,battery,2030,16,4,4,0.0
365,battery,2030,16,5,5,0.0
366,battery,2030,16,6,6,0.0
367,battery,2030,16,7,7,0.0
368,battery,2030,16,8,8,0.0
369,battery,2030,16,9,9,0.0
370,battery,2030,16,10,10,0.0
371,battery,2030,16,11,11,0.0
372,battery,2030,16,12,12,0.0
373,battery,2030,16,13,13,0.0
374,battery,2030,16,14,14,0.0
375,battery,2030,16,15,15,0.0
376,battery,2030,16,16,16,0.0
377,battery,2030,16,17,17,0.0
378,battery,2030,16,18,18,0.0
379,battery,2030,16,19,19,0.0
380,battery,2030,16,20,20,0.0
381,battery,2030,16,21,21,0.0
382,battery,2030,16,22,22,0.0
383,battery,2030,16,23,23,0.0
384,battery,2030,16,24,24,0.0
385,battery,2030,17,1,1,0.0
386,battery,2030,17,2,2,0.0
387,battery,2030,17,3,3,0.0
388,battery,2030,17,4,4,0.0
389,battery,2030,17,5,5,0.0
390,battery,2030,17,6,6,0.0
391,battery,2030,17,7,7,0.0
392,battery,2030,17,8,8,0.0
393,battery,2030,17,9,9,0.0
394,battery,2030,17,10,10,0.0
395,battery,2030,17,11,11,0.0
396,battery,2030,17,12,12,0.0
397,battery,2030,17,13,13,0.0
398,battery,2030,17,14,14,0.0
399,battery,2030,17,15,15,0.0
400,battery,2030,17,16,16,0.0
401,battery,2030,17,17,17,0.0
402,battery,2030,17,18,18,0.0
403,battery,2030,17,19,19,0.0
404,battery,2030,17,20,20,0.0
405,battery,2030,17,21,21,0.0
406,battery,2030,17,22,22,0.0
407,battery,2030,17,23,23,0.0
408,battery,2030,17,24,24,0.0
409,battery,2030,18,1,1,0.0
410,battery,2030,18,2,2,0.0
411,battery,2030,18,3,3,0.0
412,battery,2030,18,4,4,0.0
413,battery,2030,18,5,5,0.0
414,battery,2030,18,6,6,0.0
415,battery,2030,18,7,7,0.0
416,battery,2030,18,8,8,0.0
417,battery,2030,18,9,9,0.0
418,battery,2030,18,10,10,0.0
419,battery,2030,18,11,11,0.0
420,battery,2030,18,12,12,0.0
421,battery,2030,18,13,13,0.0
422,battery,2030,18,14,14,0.0
423,battery,2030,18,15,15,0.0
424,battery,2030,18,16,16,0.0
425,battery,2030,18,17,17,0.0
426,battery,2030,18,18,18,0.0
427,battery,2030,18,19,19,0.0
428,battery,2030,18,20,20,0.0
429,battery,2030,18,21,21,0.0
430,battery,2030,18,22,22,0.0
431,battery,2030,18,23,23,0.0
432,battery,2030,18,24,24,0.0
433,battery,2030,19,1,1,0.0
434,battery,2030,19,2,2,0.0
435,battery,2030,19,3,3,0.0
436,battery,2030,19,4,4,0.0
437,battery,2030,19,5,5,0.0
438,battery,2030,19,6,6,0.0
439,battery,2030,19,7,7,0.0
440,battery,2030,19,8,8,0.0
441,battery,2030,19,9,9,0.0
442,battery,2030,19,10,10,0.0
443,battery,2030,19,11,11,0.0
444,battery,2030,19,12,12,0.0
445,battery,2030,19,13,13,0.0
446,battery,2030,19,14,14,0.0
447,battery,2030,19,15,15,0.0
448,battery,2030,19,16,16,0.0
449,battery,2030,19,17,17,0.0
450,battery,2030,19,18,18,0.0
451,battery,2030,19,19,19,0.0
452,battery,2030,19,20,20,0.0
453,battery,2030,19,21,21,0.0
454,battery,2030,19,22,22,0.0
455,battery,2030,19,23,23,0.0
456,battery,2030,19,24,24,0.0
457,battery,2030,20,1,1,0.0
458,battery,2030,20,2,2,0.0
459,battery,2030,20,3,3,0.0
460,battery,2030,20,4,4,0.0
461,battery,2030,20,5,5,0.0
462,battery,2030,20,6,6,0.0
463,battery,2030,20,7,7,0.0
464,battery,2030,20,8,8,0.0
465,battery,2030,20,9,9,0.0
466,battery,2030,20,10,10,0.0
467,battery,2030,20,11,11,0.0
468,battery,2030,20,12,12,0.0
469,battery,2030,20,13,13,0.0
470,battery,2030,20,14,14,0.0
471,battery,2030,20,15,15,0.0
472,battery,2030,20,16,16,0.0
473,battery,2030,20,17,17,0.0
474,battery,2030,20,18,18,0.0
475,battery,2030,20,19,19,0.0
476,battery,2030,20,20,20,0.0
477,battery,2030,20,21,21,0.0
478,battery,2030,20,22,22,0.0
479,battery,2030,20,23,23,0.0
480,battery,2030,20,24,24,0.0
481,battery,2030,21,1,1,0.0
482,battery,2030,21,2,2,0.0
483,battery,2030,21,3,3,0.0
484,battery,2030,21,4,4,0.0
485,battery,2030,21,5,5,0.0
486,battery,2030,21,6,6,0.0
487,battery,2030,21,7,7,0.0
488,battery,2030,21,8,8,0.0
489,battery,2030,21,9,9,0.0
490,battery,2030,21,10,10,0.0
491,battery,2030,21,11,11,0.0
492,battery,2030,21,12,12,0.0
493,battery,2030,21,13,13,0.0
494,battery,2030,21,14,14,0.0
495,battery,2030,21,15,15,0.0
496,battery,2030,21,16,16,0.0
497,battery,2030,21,17,17,0.0
498,battery,2030,21,18,18,0.0
499,battery,2030,21,19,19,0.0
500,battery,2030,21,20,20,0.0
501,battery,2030,21,21,21,0.0
502,battery,2030,21,22,22,0.0
503,battery,2030,21,23,23,0.0
504,battery,2030,21,24,24,0.0
505,battery,2030,22,1,1,0.0
506,battery,2030,22,2,2,0.0
507,battery,2030,22,3,3,0.0
508,battery,2030,22,4,4,0.0
509,battery,2030,22,5,5,0.0
510,battery,2030,22,6,6,0.0
511,battery,2030,22,7,7,0.0
512,battery,2030,22,8,8,0.0
513,battery,2030,22,9,9,0.0
514,battery,2030,22,10,10,0.0
515,battery,2030,22,11,11,0.0
516,battery,2030,22,12,12,0.0
517,battery,2030,22,13,13,0.0
518,battery,2030,22,14,14,0.0
519,battery,2030,22,15,15,0.0
520,battery,2030,22,16,16,0.0
521,battery,2030,22,17,17,0.0
522,battery,2030,22,18,18,0.0
523,battery,2030,22,19,19,0.0
524,battery,2030,22,20,20,0.0
525,battery,2030,22,21,21,0.0
526,battery,2030,22,22,22,0.0
527,battery,2030,22,23,23,0.0
528,battery,2030,22,24,24,0.0
529,battery,2030,23,1,1,0.0
530,battery,2030,23,2,2,0.0
531,battery,2030,23,3,3,0.0
532,battery,2030,23,4,4,0.0
533,battery,2030,23,5,5,0.0
534,battery,2030,23,6,6,0.0
535,battery,2030,23,7,7,0.0
536,battery,2030,23,8,8,0.0
537,battery,2030,23,9,9,0.0
538,battery,2030,23,10,10,0.0
539,battery,2030,23,11,11,0.0
540,battery,2030,23,12,12,0.0
541,battery,2030,23,13,13,0.0
542,battery,2030,23,14,14,0.0
543,battery,2030,23,15,15,0.0
544,battery,2030,23,16,16,0.0
545,battery,2030,23,17,17,0.0
546,battery,2030,23,18,18,0.0
547,battery,2030,23,19,19,0.0
548,battery,2030,23,20,20,0.0
549,battery,2030,23,21,21,0.0
550,battery,2030,23,22,22,0.0
551,battery,2030,23,23,23,0.0
552,battery,2030,23,24,24,0.0
553,battery,2030,24,1,1,0.0
554,battery,2030,24,2,2,0.0
555,battery,2030,24,3,3,0.0
556,battery,2030,24,4,4,0.0
557,battery,2030,24,5,5,0.0
558,battery,2030,24,6,6,0.0
559,battery,2030,24,7,7,0.0
560,battery,2030,24,8,8,0.0
561,battery,2030,24,9,9,0.0
562,battery,2030,24,10,10,0.0
563,battery,2030,24,11,11,0.0
564,battery,2030,24,12,12,0.0
565,battery,2030,24,13,13,0.0
566,battery,2030,24,14,14,0.0
567,battery,2030,24,15,15,0.0
568,battery,2030,24,16,16,0.0
569,battery,2030,24,17,17,0.0
570,battery,2030,24,18,18,0.0
571,battery,2030,24,19,19,0.0
572,battery,2030,24,20,20,0.0
573,battery,2030,24,21,21,0.0
574,battery,2030,24,22,22,0.0
575,battery,2030,24,23,23,0.0
576,battery,2030,24,24,24,0.0
577,battery,2030,25,1,1,0.0
578,battery,2030,25,2,2,0.0
579,battery,2030,25,3,3,0.0
580,battery,2030,25,4,4,0.0
581,battery,2030,25,5,5,0.0
582,battery,2030,25,6,6,0.0
583,battery,2030,25,7,7,0.0
584,battery,2030,25,8,8,0.0
585,battery,2030,25,9,9,0.0
586,battery,2030,25,10,10,0.0
587,battery,2030,25,11,11,0.0
588,battery,2030,25,12,12,0.0
589,battery,2030,25,13,13,0.0
590,battery,2030,25,14,14,0.0
591,battery,2030,25,15,15,0.0
592,battery,2030,25,16,16,0.0
593,battery,2030,25,17,17,0.0
594,battery,2030,25,18,18,0.0
595,battery,2030,25,19,19,0.0
596,battery,2030,25,20,20,0.0
597,battery,2030,25,21,21,0.0
598,battery,2030,25,22,22,0.0
599,battery,2030,25,23,23,0.0
600,battery,2030,25,24,24,0.0
601,battery,2030,26,1,1,0.0
602,battery,2030,26,2,2,0.0
603,battery,2030,26,3,3,0.0
604,battery,2030,26,4,4,0.0
605,battery,2030,26,5,5,0.0
606,battery,2030,26,6,6,0.0
607,battery,2030,26,7,7,0.0
608,battery,2030,26,8,8,0.0
609,battery,2030,26,9,9,0.0
610,battery,2030,26,10,10,0.0
611,battery,2030,26,11,11,0.0
612,battery,2030,26,12,12,0.0
613,battery,2030,26,13,13,0.0
614,battery,2030,26,14,14,0.0
615,battery,2030,26,15,15,0.0
616,battery,2030,26,16,16,0.0
617,battery,2030,26,17,17,0.0
618,battery,2030,26,18,18,0.0
619,battery,2030,26,19,19,0.0
620,battery,2030,26,20,20,0.0
621,battery,2030,26,21,21,0.0
622,battery,2030,26,22,22,0.0
623,battery,2030,26,23,23,0.0
624,battery,2030,26,24,24,0.0
625,battery,2030,27,1,1,0.0
626,battery,2030,27,2,2,0.0
627,battery,2030,27,3,3,0.0
628,battery,2030,27,4,4,0.0
629,battery,2030,27,5,5,0.0
630,battery,2030,27,6,6,0.0
631,battery,2030,27,7,7,0.0
632,battery,2030,27,8,8,0.0
633,battery,2030,27,9,9,0.0
634,battery,2030,27,10,10,0.0
635,battery,2030,27,11,11,0.0
636,battery,2030,27,12,12,0.0
637,battery,2030,27,13,13,0.0
638,battery,2030,27,14,14,0.0
639,battery,2030,27,15,15,0.0
640,battery,2030,27,16,16,0.0
641,battery,2030,27,17,17,0.0
642,battery,2030,27,18,18,0.0
643,battery,2030,27,19,19,0.0
644,battery,2030,27,20,20,0.0
645,battery,2030,27,21,21,0.0
646,battery,2030,27,22,22,0.0
647,battery,2030,27,23,23,0.0
648,battery,2030,27,24,24,0.0
649,battery,2030,28,1,1,0.0
650,battery,2030,28,2,2,0.0
651,battery,2030,28,3,3,0.0
652,battery,2030,28,4,4,0.0
653,battery,2030,28,5,5,0.0
654,battery,2030,28,6,6,0.0
655,battery,2030,28,7,7,0.0
656,battery,2030,28,8,8,0.0
657,battery,2030,28,9,9,0.0
658,battery,2030,28,10,10,0.0
659,battery,2030,28,11,11,0.0
660,battery,2030,28,12,12,0.0
661,battery,2030,28,13,13,0.0
662,battery,2030,28,14,14,0.0
663,battery,2030,28,15,15,0.0
664,battery,2030,28,16,16,0.0
665,battery,2030,28,17,17,0.0
666,battery,2030,28,18,18,0.0
667,battery,2030,28,19,19,0.0
668,battery,2030,28,20,20,0.0
669,battery,2030,28,21,21,0.0
670,battery,2030,28,22,22,0.0
671,battery,2030,28,23,23,0.0
672,battery,2030,28,24,24,0.0
673,battery,2030,29,1,1,0.0
674,battery,2030,29,2,2,0.0
675,battery,2030,29,3,3,0.0
676,battery,2030,29,4,4,0.0
677,battery,2030,29,5,5,0.0
678,battery,2030,29,6,6,0.0
679,battery,2030,29,7,7,0.0
680,battery,2030,29,8,8,0.0
681,battery,2030,29,9,9,0.0
682,battery,2030,29,10,10,0.0
683,battery,2030,29,11,11,0.0
684,battery,2030,29,12,12,0.0
685,battery,2030,29,13,13,0.0
686,battery,2030,29,14,14,0.0
687,battery,2030,29,15,15,0.0
688,battery,2030,29,16,16,0.0
689,battery,2030,29,17,17,0.0
690,battery,2030,29,18,18,0.0
691,battery,2030,29,19,19,0.0
692,battery,2030,29,20,20,0.0
693,battery,2030,29,21,21,0.0
694,battery,2030,29,22,22,0.0
695,battery,2030,29,23,23,0.0
696,battery,2030,29,24,24,0.0
697,battery,2030,30,1,1,0.0
698,battery,2030,30,2,2,0.0
699,battery,2030,30,3,3,0.0
700,battery,2030,30,4,4,0.0
701,battery,2030,30,5,5,0.0
702,battery,2030,30,6,6,0.0
703,battery,2030,30,7,7,0.0
704,battery,2030,30,8,8,0.0
705,battery,2030,30,9,9,0.0
706,battery,2030,30,10,10,0.0
707,battery,2030,30,11,11,0.0
708,battery,2030,30,12,12,0.0
709,battery,2030,30,13,13,0.0
710,battery,2030,30,14,14,0.0
711,battery,2030,30,15,15,0.0
712,battery,2030,30,16,16,0.0
713,battery,2030,30,17,17,0.0
714,battery,2030,30,18,18,0.0
715,battery,2030,30,19,19,0.0
716,battery,2030,30,20,20,0.0
717,battery,2030,30,21,21,0.0
718,battery,2030,30,22,22,0.0
719,battery,2030,30,23,23,0.0
720,battery,2030,30,24,24,0.0
721,ccgt,2030,1,1,1,0.0
722,ccgt,2030,1,2,2,0.0
723,ccgt,2030,1,3,3,0.0
724,ccgt,2030,1,4,4,0.0
725,ccgt,2030,1,5,5,0.0
726,ccgt,2030,1,6,6,0.0
727,ccgt,2030,1,7,7,0.0
728,ccgt,2030,1,8,8,0.0
729,ccgt,2030,1,9,9,-1.076335180055402
730,ccgt,2030,1,10,10,-1.076335180055402
731,ccgt,2030,1,11,11,-1.076335180055402
732,ccgt,2030,1,12,12,-1.076335180055402
733,ccgt,2030,1,13,13,0.0
734,ccgt,2030,1,14,14,-0.45754219078250946
735,ccgt,2030,1,15,15,-1.076335180055402
736,ccgt,2030,1,16,16,0.0
737,ccgt,2030,1,17,17,0.0
738,ccgt,2030,1,18,18,0.0
739,ccgt,2030,1,19,19,0.0
740,ccgt,2030,1,20,20,0.0
741,ccgt,2030,1,21,21,0.0
742,ccgt,2030,1,22,22,0.0
743,ccgt,2030,1,23,23,0.0
744,ccgt,2030,1,24,24,0.0
745,ccgt,2030,2,1,1,0.0
746,ccgt,2030,2,2,2,0.0
747,ccgt,2030,2,3,3,0.0
748,ccgt,2030,2,4,4,0.0
749,ccgt,2030,2,5,5,0.0
750,ccgt,2030,2,6,6,0.0
751,ccgt,2030,2,7,7,0.0
752,ccgt,2030,2,8,8,0.0
753,ccgt,2030,2,9,9,0.0
754,ccgt,2030,2,10,10,0.0
755,ccgt,2030,2,11,11,0.0
756,ccgt,2030,2,12,12,0.0
757,ccgt,2030,2,13,13,0.0
758,ccgt,2030,2,14,14,0.0
759,ccgt,2030,2,15,15,0.0
760,ccgt,2030,2,16,16,0.0
761,ccgt,2030,2,17,17,0.0
762,ccgt,2030,2,18,18,0.0
763,ccgt,2030,2,19,19,0.0
764,ccgt,2030,2,20,20,0.0
765,ccgt,2030,2,21,21,0.0
